,id,lons,lats,lat1,lon1,dist1,i1,j1,w1,lat2,lon2,dist2,i2,j2,w2,lat3,lon3,dist3,i3,j3,w3,lat4,lon4,dist4,i4,j4,w4
17,18,-8.06,43.28,43.0,-9.0,82.55808358225538,1.0,0.0,0.5025565257069343,43.0,-6.0,170.4501819213833,1.0,1.0,0.24341483937668915,46.0,-9.0,311.3173628675273,0.0,0.0,0.13327269405072004,46.0,-6.0,343.5864385362171,0.0,1.0,0.12075594086565651
18,19,-2.0,38.08,37.0,-3.0,148.92298559234163,3.0,2.0,0.34638165361288703,37.0,0.0,213.55836052085618,3.0,3.0,0.24154610423414313,40.0,-3.0,230.05861543311534,2.0,2.0,0.22422194410467736,40.0,0.0,274.6026519328821,2.0,3.0,0.18785029804829256
19,20,-5.87,39.9,40.0,-6.0,15.706720134079664,2.0,1.0,0.8536691432410783,40.0,-3.0,245.49957723496,2.0,2.0,0.05461655971470157,40.0,-9.0,267.6941669990937,2.0,0.0,0.05008828720587168,37.0,-6.0,322.114523396732,3.0,1.0,0.041626009838348126
20,21,-2.64,40.6,40.0,-3.0,73.31807175439752,2.0,2.0,0.5445242866146399,40.0,0.0,234.1184692668798,2.0,3.0,0.1705267886085234,43.0,-3.0,268.23960718287606,1.0,2.0,0.14883510730317287,40.0,-6.0,293.30946305836267,2.0,1.0,0.13611381747366375
21,22,-3.38,38.57,40.0,-3.0,162.10935352414214,2.0,2.0,0.32667977316168495,37.0,-3.0,177.44342884946522,3.0,2.0,0.29844918563640427,40.0,-6.0,276.207888321266,2.0,1.0,0.1917318406745039,37.0,-6.0,289.16718367310426,3.0,1.0,0.1831392005274069
22,23,-2.8,40.01,40.0,-3.0,17.113580248554513,2.0,2.0,0.8433937547046155,40.0,0.0,239.07810345936787,2.0,3.0,0.06037142880682153,40.0,-6.0,273.227986874591,2.0,1.0,0.05282579895042732,43.0,-3.0,332.49973210260146,1.0,2.0,0.04340901753813537
23,24,-5.24,38.15,37.0,-6.0,144.21491082991417,3.0,1.0,0.3581755306660092,40.0,-6.0,215.6515176360563,2.0,1.0,0.2395264952581037,37.0,-3.0,235.45706492856903,3.0,2.0,0.2193786465151349,40.0,-3.0,282.38815933379146,2.0,2.0,0.18291932756075227
24,25,-7.29,39.34,40.0,-6.0,132.74277314219898,2.0,1.0,0.3675493014589551,40.0,-9.0,164.00095368879465,2.0,0.0,0.2974953038061102,37.0,-6.0,283.2626255393347,3.0,1.0,0.17224126709001616,37.0,-9.0,299.8480479126573,3.0,0.0,0.16271412764491858
25,26,-1.46,42.41,43.0,0.0,136.3937950254042,1.0,3.0,0.34701497593824754,43.0,-3.0,142.17642842569688,1.0,2.0,0.33290110057591216,40.0,0.0,294.3196892649277,2.0,3.0,0.16081387425040003,40.0,-3.0,297.1725677619431,2.0,2.0,0.1592700492354403
26,27,-4.96,40.05,40.0,-6.0,88.95012582598916,2.0,1.0,0.48739580941781774,40.0,-3.0,167.39960127284937,2.0,2.0,0.2589845987990792,43.0,-6.0,338.9341997587311,1.0,1.0,0.12791249335604385,40.0,-9.0,344.88043330290157,2.0,0.0,0.12570709842705935
