,id,lons,lats,lat1,lon1,dist1,i1,j1,w1,lat2,lon2,dist2,i2,j2,w2,lat3,lon3,dist3,i3,j3,w3,lat4,lon4,dist4,i4,j4,w4
22,23,-2.8,40.01,43.0,-3.0,,1.0,2.0,0.003111111111110492,43.0,0.0,,1.0,3.0,0.0002222222222221782,40.0,0.0,,2.0,3.0,0.06644444444444456,40.0,-3.0,,2.0,2.0,0.9302222222222228
23,24,-5.24,38.15,40.0,-6.0,,2.0,1.0,0.2862222222222219,40.0,-3.0,,2.0,2.0,0.09711111111111097,37.0,-3.0,,3.0,2.0,0.1562222222222223,37.0,-6.0,,3.0,1.0,0.4604444444444449
24,25,-7.29,39.34,40.0,-9.0,,2.0,0.0,0.33540000000000053,40.0,-6.0,,2.0,1.0,0.4446000000000006,37.0,-6.0,,3.0,1.0,0.12539999999999935,37.0,-9.0,,3.0,0.0,0.09459999999999952
25,26,-1.46,42.41,43.0,-3.0,,1.0,2.0,0.390955555555555,43.0,0.0,,1.0,3.0,0.41237777777777723,40.0,0.0,,2.0,3.0,0.10095555555555615,40.0,-3.0,,2.0,2.0,0.09571111111111166
26,27,-4.96,40.05,43.0,-6.0,,1.0,1.0,0.01088888888888827,43.0,-3.0,,1.0,2.0,0.00577777777777745,40.0,-3.0,,2.0,2.0,0.34088888888888924,40.0,-6.0,,2.0,1.0,0.642444444444445
27,28,-3.36,39.17,40.0,-6.0,,2.0,1.0,0.08680000000000004,40.0,-3.0,,2.0,2.0,0.6365333333333338,37.0,-3.0,,3.0,2.0,0.2434666666666662,37.0,-6.0,,3.0,1.0,0.033199999999999924
28,29,-6.34,42.45,43.0,-9.0,,1.0,0.0,0.09255555555555563,43.0,-6.0,,1.0,1.0,0.724111111111112,40.0,-6.0,,2.0,1.0,0.16255555555555473,40.0,-9.0,,2.0,0.0,0.02077777777777766
29,30,-3.12,38.76,40.0,-6.0,,2.0,1.0,0.02346666666666666,40.0,-3.0,,2.0,2.0,0.5631999999999994,37.0,-3.0,,3.0,2.0,0.3968000000000006,37.0,-6.0,,3.0,1.0,0.016533333333333376
30,31,-5.79,42.9,43.0,-6.0,,1.0,1.0,0.8989999999999996,43.0,-3.0,,1.0,2.0,0.06766666666666662,40.0,-3.0,,2.0,2.0,0.002333333333333366,40.0,-6.0,,2.0,1.0,0.03100000000000044
31,32,-2.23,41.99,43.0,-3.0,,1.0,2.0,0.4930777777777782,43.0,0.0,,1.0,3.0,0.17025555555555572,40.0,0.0,,2.0,3.0,0.08641111111111094,40.0,-3.0,,2.0,2.0,0.25025555555555506
